epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,685.52,1.96757,13.2885,0.01361,0.34429,0.12298,0.06236,0.03724,0.36195,4.07889,0.00295,3.33261e-05,3.33261e-05,0.0001
2,1345.88,1.48851,4.36637,0.00925,0.43588,0.14949,0.08814,0.05186,0.31615,1.24908,0.00243,6.64951e-05,6.64951e-05,9.98357e-05
3,2015.12,1.40705,4.21101,0.00864,0.44135,0.17572,0.1142,0.07178,0.30924,1.1752,0.0023,9.90095e-05,9.90095e-05,9.90167e-05
4,2686.73,1.37526,4.13039,0.00845,0.47516,0.17642,0.11634,0.07547,0.29481,0.93853,0.00222,9.77975e-05,9.77975e-05,9.77975e-05
5,3358.52,1.32624,4.09587,0.00808,0.48408,0.18745,0.12511,0.08152,0.2919,0.89853,0.00218,9.61095e-05,9.61095e-05,9.61095e-05
6,4029.68,1.29706,4.06693,0.00786,0.4737,0.18887,0.13148,0.08607,0.2911,0.88202,0.00218,9.39711e-05,9.39711e-05,9.39711e-05
7,4701.46,1.28756,4.03672,0.00781,0.48354,0.19247,0.13126,0.08658,0.29121,0.87437,0.00219,9.14058e-05,9.14058e-05,9.14058e-05
8,5374.03,1.27584,4.03501,0.0077,0.50224,0.19088,0.13013,0.0874,0.28797,0.87521,0.00215,8.84415e-05,8.84415e-05,8.84415e-05
9,6045.48,1.25641,4.01377,0.00754,0.50175,0.1907,0.13783,0.0915,0.28498,0.8719,0.00213,8.51109e-05,8.51109e-05,8.51109e-05
10,6717.24,1.24868,3.99371,0.00751,0.49509,0.19156,0.1406,0.09436,0.28641,0.86337,0.00214,8.14503e-05,8.14503e-05,8.14503e-05
11,7388.27,1.25281,3.95732,0.00755,0.50069,0.19343,0.14361,0.09709,0.28656,0.86166,0.00215,7.75e-05,7.75e-05,7.75e-05
12,8060.14,1.22719,3.97348,0.00738,0.49778,0.19468,0.14411,0.09791,0.2855,0.86224,0.00214,7.33031e-05,7.33031e-05,7.33031e-05
13,8731.19,1.21319,3.96674,0.00729,0.49623,0.19598,0.14483,0.09818,0.2846,0.86109,0.00213,6.89058e-05,6.89058e-05,6.89058e-05
14,9402.4,1.21664,3.94953,0.00733,0.49484,0.197,0.14518,0.09919,0.28307,0.86033,0.00212,6.4356e-05,6.4356e-05,6.4356e-05
15,10073.9,1.20033,3.95361,0.00721,0.49656,0.19864,0.14563,0.10041,0.28162,0.85985,0.0021,5.97038e-05,5.97038e-05,5.97038e-05
16,10746.6,1.19309,3.92359,0.00719,0.50089,0.19795,0.1474,0.10206,0.281,0.85884,0.0021,5.5e-05,5.5e-05,5.5e-05
17,11409.9,1.1669,3.94815,0.00698,0.50249,0.19864,0.14781,0.10241,0.28117,0.85825,0.0021,5.02962e-05,5.02962e-05,5.02962e-05
18,12077,1.17062,3.93177,0.00701,0.50165,0.19922,0.15056,0.10243,0.28094,0.85774,0.0021,4.5644e-05,4.5644e-05,4.5644e-05
19,12744.2,1.17373,3.90471,0.00701,0.50034,0.20029,0.1516,0.10361,0.28104,0.85711,0.0021,4.10942e-05,4.10942e-05,4.10942e-05
20,13400.9,1.16774,3.91494,0.00701,0.50212,0.20045,0.15195,0.10395,0.2808,0.85716,0.00209,3.66969e-05,3.66969e-05,3.66969e-05
21,14060.5,1.13892,3.8545,0.00799,0.50496,0.19982,0.14911,0.10413,0.27963,0.85768,0.00208,3.25e-05,3.25e-05,3.25e-05
22,14728.1,1.12209,3.83431,0.00785,0.50587,0.20051,0.1548,0.10494,0.2783,0.85878,0.00207,2.85497e-05,2.85497e-05,2.85497e-05
23,15381.7,1.12074,3.82175,0.00786,0.5083,0.19977,0.15149,0.10538,0.27698,0.85963,0.00206,2.48891e-05,2.48891e-05,2.48891e-05
24,16042.3,1.11237,3.80247,0.00776,0.51214,0.20079,0.15239,0.10639,0.27558,0.86071,0.00205,2.15585e-05,2.15585e-05,2.15585e-05
25,16703.2,1.11049,3.80173,0.00772,0.51069,0.20047,0.15242,0.10668,0.27452,0.86194,0.00205,1.85942e-05,1.85942e-05,1.85942e-05
26,17358.7,1.11746,3.79066,0.00777,0.50987,0.2001,0.15284,0.10723,0.27402,0.86241,0.00204,1.60289e-05,1.60289e-05,1.60289e-05
27,18028,1.10485,3.75282,0.00772,0.51119,0.19894,0.15355,0.10739,0.27358,0.86283,0.00204,1.38905e-05,1.38905e-05,1.38905e-05
28,18697.3,1.10689,3.76344,0.00775,0.51195,0.19979,0.15359,0.10748,0.2736,0.86261,0.00204,1.22025e-05,1.22025e-05,1.22025e-05
29,19367.1,1.10635,3.7782,0.00772,0.51775,0.19995,0.15411,0.10776,0.27358,0.86262,0.00204,1.09834e-05,1.09834e-05,1.09834e-05
30,20036,1.10339,3.77444,0.00771,0.52262,0.20081,0.15431,0.10829,0.27287,0.86476,0.00204,1.02465e-05,1.02465e-05,1.02465e-05
